trip_distance,pickup_Longitude,pickup_Latitude,dropoff_Longitude,dropoff_Latitude,pickup_hour,fare_amount,shift_night
0.89,40.66464,-74.10867,40.66464,-74.10867,13,8.5,0
2.3,40.66464,-74.10867,40.66464,-74.10867,11,12.5,0
6.3,40.74522,-74.03217,40.74522,-74.03217,22,40.0,1
8.67,40.76736,-74.03227,40.67767,-74.00465,17,31.0,0
2.0,40.71909,-74.03293,40.71909,-74.03293,19,60.0,1
0.8,40.42076,-74.08494,40.41011,-74.06483,15,5.0,0
2.92,40.41011,-74.06483,40.431,-74.10359,18,15.5,1
2.4,40.75065,-73.99718,40.76078,-73.97767,13,14.5,0
1.43,40.75065,-73.99718,40.7318,-73.98911,18,8.5,1
1.0,40.75065,-73.99718,40.7545,-73.98226,8,9.0,0
3.33,40.75065,-73.99718,40.7318,-73.98911,23,14.0,1
0.7,40.75065,-73.99718,40.74187,-74.00052,16,4.5,0
0.57,40.75065,-73.99718,40.7545,-73.98226,11,5.5,0
0.6,40.75065,-73.99718,40.72633,-73.97861,19,5.0,1
1.83,40.75065,-73.99718,40.73374,-74.00687,17,8.0,0
0.8,40.75065,-73.99718,40.7545,-73.98226,20,5.5,1
1.7,40.75065,-73.99718,40.7559,-73.97386,8,8.0,0
1.77,40.75065,-73.99718,40.7157,-73.98638,21,10.5,1
0.68,40.75065,-73.99718,40.75138,-73.99715,7,4.5,0
0.96,40.75065,-73.99718,40.75138,-73.99715,16,6.5,0
1.76,40.75065,-73.99718,40.72584,-73.998,16,9.0,0
1.3,40.75065,-73.99718,40.74187,-74.00052,19,6.5,1
5.81,40.75065,-73.99718,40.71244,-73.95299,4,19.5,1
0.7,40.75065,-73.99718,40.7545,-73.98226,9,6.5,0
8.39,40.75065,-73.99718,40.81066,-73.8844,4,26.5,1
5.6,40.75065,-73.99718,40.77601,-73.98269,22,23.0,1
3.0,40.75065,-73.99718,40.76166,-73.95017,1,11.0,1
2.2,40.75065,-73.99718,40.72022,-74.00463,8,12.5,0
0.95,40.75065,-73.99718,40.7545,-73.98226,7,6.5,0
1.5,40.75065,-73.99718,40.72584,-73.998,22,11.0,1
0.4,40.75065,-73.99718,40.75065,-73.99718,14,4.5,0
1.9,40.75065,-73.99718,40.7318,-73.98911,17,10.5,0
1.03,40.75065,-73.99718,40.74187,-74.00052,15,5.5,0
0.92,40.75065,-73.99718,40.74187,-74.00052,18,5.0,1
0.31,40.75065,-73.99718,40.75031,-73.99298,5,3.0,0
1.25,40.75065,-73.99718,40.75906,-73.98026,13,11.0,0
3.97,40.75065,-73.99718,40.71683,-74.01494,15,16.5,0
1.0,40.75065,-73.99718,40.72633,-73.97861,22,5.5,1
1.5,40.75065,-73.99718,40.75221,-73.97251,16,10.0,0
2.2,40.75065,-73.99718,40.7157,-73.98638,17,13.0,0
3.5,40.75065,-73.99718,40.77601,-73.98269,16,14.5,0
4.2,40.75065,-73.99718,40.7157,-73.98638,21,16.0,1
0.5,40.75065,-73.99718,40.7545,-73.98226,17,6.0,0
0.3,40.75065,-73.99718,40.75065,-73.99718,19,3.5,1
1.5,40.75065,-73.99718,40.75892,-73.97746,16,9.0,0
1.71,40.75065,-73.99718,40.75859,-73.96793,14,11.5,0
2.4,40.75065,-73.99718,40.7157,-73.98638,11,11.5,0
2.3,40.75065,-73.99718,40.76474,-73.96314,15,16.0,0
2.0,40.75065,-73.99718,40.76474,-73.96314,22,10.5,1
1.88,40.75065,-73.99718,40.72584,-73.998,14,9.0,0
3.69,40.75065,-73.99718,40.7763,-73.95372,14,17.5,0
1.46,40.75065,-73.99718,40.76078,-73.97767,12,7.5,0
4.4,40.75065,-73.99718,40.79173,-73.94396,11,20.0,0
2.1,40.75065,-73.99718,40.7657,-73.98706,22,10.5,1
1.19,40.75065,-73.99718,40.72584,-73.998,16,6.0,0
0.73,40.75065,-73.99718,40.75479,-73.97495,15,5.5,0
0.8,40.75065,-73.99718,40.7559,-73.97386,13,6.0,0
2.8,40.75065,-73.99718,40.77555,-73.99035,21,10.5,1
2.46,40.75065,-73.99718,40.76474,-73.96314,13,13.0,0
2.1,40.75065,-73.99718,40.75859,-73.96793,15,22.0,0
3.63,40.75065,-73.99718,40.7763,-73.95372,13,19.5,0
0.22,40.75065,-73.99718,40.7318,-73.98911,9,3.5,0
1.3,40.75065,-73.99718,40.75778,-73.97249,17,9.0,0
1.9,40.75065,-73.99718,40.7157,-73.98638,15,10.0,0
3.55,40.75065,-73.99718,40.7763,-73.95372,11,22.0,0
2.1,40.75065,-73.99718,40.75859,-73.96793,18,11.0,1
1.3,40.75065,-73.99718,40.74187,-74.00052,18,6.5,1
0.53,40.75065,-73.99718,40.75031,-73.99298,13,5.0,0
2.6,40.75065,-73.99718,40.76474,-73.96314,13,10.5,0
2.5,40.75065,-73.99718,40.76939,-73.95871,16,14.5,0
0.6,40.75065,-73.99718,40.7545,-73.98226,10,7.0,0
5.13,40.75065,-73.99718,40.72858,-73.94774,21,24.5,1
5.35,40.75065,-73.99718,40.77238,-73.92611,0,19.5,1
6.55,40.75065,-73.99718,40.6783,-73.91995,4,22.0,1
3.17,40.75065,-73.99718,40.71395,-74.00764,9,15.5,0
0.9,40.75065,-73.99718,40.74187,-74.00052,23,5.0,1
0.87,40.75065,-73.99718,40.75221,-73.97251,10,7.0,0
1.08,40.75065,-73.99718,40.75221,-73.97251,14,7.5,0
0.35,40.75065,-73.99718,40.75065,-73.99718,11,6.5,0
2.24,40.75065,-73.99718,40.71514,-74.00377,17,13.0,0
5.74,40.75065,-73.99718,40.71025,-74.01672,20,19.5,1
0.48,40.75065,-73.99718,40.7318,-73.98911,4,3.5,1
0.8,40.75065,-73.99718,40.75479,-73.97495,7,6.0,0
0.6,40.75065,-73.99718,40.75065,-73.99718,23,5.0,1
6.7,40.75065,-73.99718,40.68259,-73.97928,5,21.5,0
3.7,40.75065,-73.99718,40.79173,-73.94396,22,13.5,1
0.74,40.75065,-73.99718,40.75065,-73.99718,11,6.0,0
2.51,40.75065,-73.99718,40.76939,-73.95871,15,11.0,0
2.5,40.75065,-73.99718,40.76939,-73.95871,17,14.0,0
2.7,40.75065,-73.99718,40.77601,-73.98269,20,12.0,1
0.48,40.75065,-73.99718,40.74515,-73.9783,2,4.5,1
1.85,40.75065,-73.99718,40.75859,-73.96793,15,8.5,0
1.1,40.75065,-73.99718,40.74187,-74.00052,13,6.0,0
1.75,40.75065,-73.99718,40.73374,-74.00687,12,9.5,0
7.28,40.75065,-73.99718,40.73886,-73.87858,0,26.0,1
4.57,40.75065,-73.99718,40.69463,-73.98972,22,16.0,1
0.91,40.75065,-73.99718,40.72633,-73.97861,23,6.0,1
0.9,40.75065,-73.99718,40.75031,-73.99298,13,7.5,0
1.5,40.75065,-73.99718,40.72584,-73.998,20,9.0,1
0.6,40.75065,-73.99718,40.75221,-73.97251,13,5.0,0
4.9,40.75065,-73.99718,40.70968,-74.01284,23,19.5,1
0.92,40.75065,-73.99718,40.7318,-73.98911,11,6.0,0
